CUPXX	Coemansia_sp._RSA_1646.LCG
GPCZN	Coemansia_sp._RSA_1694.LCG
GPGHG	Coemansia_sp._RSA_1721.LCG
GWGAP	Coemansia_sp._RSA_1722.LCG
RSA1752	Coemansia_sp._RSA_1752.LCG
GWGAS	Coemansia_sp._RSA_1797.LCG
CUPXY	Coemansia_sp._RSA_1804.LCG
GOUNU	Coemansia_sp._RSA_1807.LCG
GWCYX	Coemansia_sp._RSA_1813.LCG
RSA1821	Coemansia_sp._RSA_1821.LCG
GPGCX	Coemansia_sp._RSA_1822.LCG
RSA1824	Coemansia_sp._RSA_1824.LCG
GPCYW	Coemansia_sp._RSA_1836.LCG
RSA1843	Coemansia_sp._RSA_1843.LCG
GPGCT	Coemansia_sp._RSA_1853.LCG
GWGAT	Coemansia_sp._RSA_1878.LCG
CUPZY	Coemansia_sp._RSA_1933.LCG
GWGAU	Coemansia_sp._RSA_1935.LCG
GPGGZ	Coemansia_sp._RSA_1937.LCG
RSA1938	Coemansia_sp._RSA_1938.LCG
GWCYS	Coemansia_sp._RSA_1939.LCG
GPCZH	Coemansia_sp._RSA_1972.LCG
GPGGU	Coemansia_sp._RSA_2049.LCG
GWGAW	Coemansia_sp._RSA_2050.LCG
GWGAX	Coemansia_sp._RSA_2052.LCG
GWGAY	Coemansia_sp._RSA_2131.LCG
RSA2167	Coemansia_sp._RSA_2167.LCG
CUPYA	Coemansia_sp._RSA_2320.LCG
GPGBH	Coemansia_sp._RSA_2322.LCG
CUPYC	Coemansia_sp._RSA_2336.LCG
GPGGG	Coemansia_sp._RSA_2337.LCG
RSA2399	Coemansia_sp._RSA_2399.LCG
GPGCZ	Coemansia_sp._RSA_2424.LCG
GWGAZ	Coemansia_sp._RSA_2440.LCG
GXCYT	Coemansia_sp._RSA_2522.LCG
RSA2523	Coemansia_sp._RSA_2523.LCG
GPGGT	Coemansia_sp._RSA_2524.LCG
GWCYU	Coemansia_sp._RSA_2526.LCG
GPGGO	Coemansia_sp._RSA_2530.LCG
GPCZT	Coemansia_sp._RSA_2531.LCG
GPCYY	Coemansia_sp._RSA_2559.LCG
RSA2598	Coemansia_sp._RSA_2598.LCG
RSA2599	Coemansia_sp._RSA_2599.LCG
GPCYT	Coemansia_sp._RSA_25.LCG
GPGBT	Coemansia_sp._RSA_2603.LCG
GWCYT	Coemansia_sp._RSA_2607.LCG
GWGBB	Coemansia_sp._RSA_2610.LCG
GWGBC	Coemansia_sp._RSA_2611.LCG
GOUNY	Coemansia_sp._RSA_2618.LCG
GPCYZ	Coemansia_sp._RSA_2671.LCG
GPGAO	Coemansia_sp._RSA_2673.LCG
RSA2675	Coemansia_sp._RSA_2675.LCG
GPGHO	Coemansia_sp._RSA_2681.LCG
GXCYU	Coemansia_sp._RSA_2702.LCG
RSA2703	Coemansia_sp._RSA_2703.LCG
GWGBH	Coemansia_sp._RSA_2704.LCG
GWGBN	Coemansia_sp._RSA_2705.LCG
GWGBO	Coemansia_sp._RSA_2706.LCG
RSA2708	Coemansia_sp._RSA_2708.LCG
RSA2711	Coemansia_sp._RSA_2711.LCG
GWCYZ	Coemansia_sp._RSA_353.LCG
GWCYW	Coemansia_sp._RSA_355.LCG
GOUNW	Coemansia_sp._RSA_370.LCG
GWCYY	Coemansia_sp._RSA_371.LCG
GPGCU	Coemansia_sp._RSA_376.LCG
CUPZZ	Coemansia_sp._RSA_451.LCG
GPGCS	Coemansia_sp._RSA_454.LCG
GPCZW	Coemansia_sp._RSA_455.LCG
GPGAX	Coemansia_sp._RSA_475.LCG
GXCYW	Coemansia_sp._RSA_485.LCG
RSA486	Coemansia_sp._RSA_486.LCG
CUPYB	Coemansia_sp._RSA_487.LCG
CUPYG	Coemansia_sp._RSA_518.LCG
GXCYO	Coemansia_sp._RSA_520.LCG
GWCZB	Coemansia_sp._RSA_521.LCG
GWCZC	Coemansia_sp._RSA_522.LCG
GPCZA	Coemansia_sp._RSA_530.LCG
CUPXZ	Coemansia_sp._RSA_532.LCG
GPGHC	Coemansia_sp._RSA_551.LCG
GPCZG	Coemansia_sp._RSA_552.LCG
GPCZZ	Coemansia_sp._RSA_560.LCG
GOUNX	Coemansia_sp._RSA_562.LCG
GWCZG	Coemansia_sp._RSA_564.LCG
GWCZN	Coemansia_sp._RSA_637.LCG
RSA638	Coemansia_sp._RSA_638.LCG
GWCZO	Coemansia_sp._RSA_678.LCG
GWCZH	Coemansia_sp._RSA_720.LCG
GPGBG	Coemansia_sp._RSA_788.LCG
GPGGS	Coemansia_sp._RSA_921.LCG
GXCYP	Coemansia_sp._RSA_922.LCG
GWCZS	Coemansia_sp._RSA_986.LCG
GWWBH	Coemansia_sp._RSA_988.LCG
RSA989	Coemansia_sp._RSA_989.LCG
RSA990	Coemansia_sp._RSA_990.LCG
GPCZC	Coemansia_sp._S100.LCG
GPCZY	Coemansia_sp._S142-1.LCG
GPGCP	Coemansia_sp._S146.LCG
GPGAA	Coemansia_sp._S155-1.LCG
GWGBS	Coemansia_sp._S16.LCG
S17	Coemansia_sp._S17.LCG
GPCZP	Coemansia_sp._S2.LCG
GWGBT	Coemansia_sp._S3946.LCG
GXCYX	Coemansia_sp._S610.LCG
GPGAB	Coemansia_sp._S680.LCG
GPGCO	Coemansia_sp._S85.LCG
GWGCA	Coemansia_thaxteri_IMI_214461.LCG
GPGBU	Coemansia_thaxteri_IMI_214463.LCG
COZTW	Coemansia_umbellata_BCRC_34882.LCG
N154	Cokeromyces_recurvatus_B5483
Cokrec1	Cokeromyces_recurvatus_NRRL_2243
CUPXP	Conidiobolus_antarcticus_ARSEF_6913.LCG
Conco1	Conidiobolus_coronatus_NRRL_28638
CHXWS	Conidiobolus_firmipilleus_ARSEF_2731.LCG
CHXWY	Conidiobolus_heterosporus_ARSEF_6386.LCG
N159	Conidiobolus_incongruus_B7586
H4W82	Conidiobolus_incongruus_NRRL_3022.LCG
IWY20	Conidiobolus_incongruus_NRRL_3023.LCG
CHXWP	Conidiobolus_lamprauges_ARSEF_2338.LCG
CTHWH	Conidiobolus_lamprauges_NRRL_1229.LCG
CHXXA	Conidiobolus_megalotocus_ARSEF_8428.LCG
CTHTZ	Conidiobolus_megalotocus_NRRL_3011.LCG
COZTU	Conidiobolus_osmodes_ARSEF_79.LCG
CTHWA	Conidiobolus_polytocus_NRRL_1231.LCG
EV402	Conidiobolus_pumilus_ARSEF_6383.LCG
CHXWT	Conidiobolus_rhysosporus_ARSEF_448.LCG
CTHUZ	Conidiobolus_rhysosporus_NRRL_1225.LCG
CTHTY	Conidiobolus_sp._NRRL_29146.LCG
CHXWU	Conidiobolus_thromboides_ARSEF_4968.LCG
Conth1	Conidiobolus_thromboides_FSU_785
CTHUA	Conidiobolus_thromboides_NRRL_1224.LCG
CHXZC	Cunninghamella_antarctica_NRRL_6534.LCG
G680	Cunninghamella_bertholletiae_175
N158	Cunninghamella_bertholletiae_B7461
GAWNA	Cunninghamella_bertholletiae_NRRL_1376.LCG
GAWGP	Cunninghamella_bertholletiae_NRRL_1377.LCG
H4X08	Cunninghamella_bertholletiae_NRRL_1378.LCG
GAWCH	Cunninghamella_bertholletiae_NRRL_1380.LCG
CHXZB	Cunninghamella_brunnea_NRRL_6143.LCG
Cunech1	Cunninghamella_echinulata_NRRL_1382
GAWNC	Cunninghamella_echinulata_NRRL_1384.LCG
GAWGS	Cunninghamella_echinulata_NRRL_1385.LCG
GAWHZ	Cunninghamella_echinulata_NRRL_1386.LCG
GAWHN	Cunninghamella_echinulata_NRRL_1387.LCG
GBNWW	Cunninghamella_echinulata_RSA_2018-.LCG
G231	Cunninghamella_elegans_B9769
GAWGU	Cunninghamella_elegans_NRRL_1388.LCG
GAWGW	Cunninghamella_elegans_NRRL_1390.LCG
GAWGX	Cunninghamella_elegans_NRRL_1391.LCG
GAWGT	Cunninghamella_elegans_NRRL_1392.LCG
GAWGZ	Cunninghamella_elegans_NRRL_1393.LCG
H4X38	Cunninghamella_elegans_NRRL_2310.LCG
H4W96	Cunninghamella_japonica_NRRL_2463.LCG
H4W97	Cunninghamella_japonica_NRRL_2464.LCG
GWOXN	Cunninghamella_polymorpha_NRRL_1395.LCG
GAWHO	Cunninghamella_sp._NRRL_A-21238.LCG
GAWHX	Cunninghamella_sp._NRRL_A-21271.LCG
MVC580	Densosporaceae_sp._MVC-580.LCG
CTHUB	Dichotomocladium_elegans_NRRL_2754.LCG
Dicele1	Dichotomocladium_elegans_RSA_919-.v1.Dicele1
GBNUW	Dichotomocladium_hesseltinei_NRRL_2912T.LCG
GBNUO	Dichotomocladium_robustum_RSA_1342.LCG
Dicrob1	Dichotomocladium_robustum_RSA_2353+.v1
GBNSB	Dichotomocladium_sphaerosporum_NRRL_22118.LCG
GWGBX	Dimargaris_cristalligena_RSA_1219.LCG
DimcrSC1	Dimargaris_cristalligena_RSA_468
GWGBY	Dimargaris_verticellata_RSA_567.LCG
GWGBZ	Dimargaris_xerosporica_NRRL_3178.LCG
GPYHY	Dipsacomyces_acuminosporus_NRRL_2925.LCG
GWWAX	Dispira_parvispora_RSA_1196.LCG
GWWAW	Dispira_simplex_RSA_1455.LCG
Disdec1	Dissophora_decumbens_NRRL_22416.v1
Disorn1	Dissophora_ornata_CBS_347
BCCTU	Dissophora_ornata_NRRL_22417.LCG
BCCTS	Echinosporangium_transversalis_NRRL_5525.LCG
Ellano2	Ellisomyces_anomalus_CBS_243
GBNWY	Ellisomyces_anomalus_RSA_581-.LCG
Endsp1	Endogone_sp_FLAS_59071
Emaim	Entomophaga_maimaiga_ARSEF_7190_Trinity
Emusc_isoH	Entomophthora_muscae_isoH_Trinity
EmusUCB	Entomophthora_muscae_UCB.v1
COZUC	Fennellomyces_heterothallicus_RSA_2348.LCG
FenlinCB54_1	Fennellomyces_linderi_CBS_158
FB649	Fennellomyces_linderi_NRRL_2342.LCG
GBNUU	Fennellomyces_linderi_NRRL_2342T.LCG
FBU36	Fennellomyces_mexicanus_sp._nov._RSA_1418-.LCG
Fenlin1	Fennellomyces_sp_T-0311
CHXZO	Fennellomyces_verticellatus_RSA_2446.LCG
FBOO	Furculomyces_boomerangus_AUS-77-4.v1
Geopyr1	Geosiphon_pyriformis
GAUZP	Gilbertella_persicaria_Eddy_Hesseltine_NRRL_A-13613.LCG
FBU33	Gilbertella_persicaria_var._indica_CBS_442.64-.LCG
Gilper1	Gilbertella_persicaria_var_persicaria_CBS_190.32-T
FBW68	Gilbertella_persicaria_var._persicaria_CBS_190.32-T.LCG
Gonbut1	Gongronella_butleri_CBS_227_36
GAWNG	Gongronella_butleri_NRRL_1340.LCG
IWY21	Gongronella_butleri_NRRL_2422.LCG
H4X21	Gongronella_butleri_NRRL_2795.LCG
GAWGG	Gongronella_butleri_NRRL_A-23795.LCG
CTHUG	Gongronella_butleri_NRRL_A-9978.LCG
HCOOY	Gongronella_sp._NRRL_A-20010.LCG
Halrad1	Halteromyces_radiatus_CBS_162.75
BCCSG	Haplosporangium_bisporale_NRRL_A-12553.LCG
BCCOW	Haplosporangium_lignicola_NRRL_2525.LCG
BCCPO	Haplosporangium_sp._NRRL_3175.LCG
BCCTX	Haplosporangium_sp._NRRL_A-10739.LCG
BCCSB	Haplosporangium_sp._NRRL_A-10996.LCG
GAUXZ	Helicostylum_lucknowense_NRRL_2892.LCG
GAWHU	Helicostylum_lucknowense_NRRL_A-16732.LCG
Helpul1	Helicostylum_pulchrum_RSA_2064.v1
GBNSN	Helicostylum_pulchrum_RSA_2065.LCG
GAWHT	Helicostylum_sp._NRRL_1397.LCG
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Jimfl_AD_1	Jimgerdemannia_flammicorona_AD002
Jimfl_GMNB39_1	Jimgerdemannia_flammicorona_GMNB39
Jimlac1	Jimgerdemannia_lactiflua_OSC166217
Benny63K	Kickxella_alabastrina_Benny_63K.LCG
GPGBC	Kickxella_alabastrina_RSA_2140.LCG
Kicala1	Kickxella_alabastrina_RSA_675
Kircor1	Kirkomyces_cordense_RSA_1222
Lenpar1	Lentamyces_parricidus_NRRL2409.v1
Lenzyc1	Lentamyces_zychae_NRRL_2806.v1
G678	Lichtheimia_corymbifera_008-049
N169	Lichtheimia_corymbifera_B2541
CTHUP	Lichtheimia_corymbifera_NRRL_1592.LCG
CTHUH	Lichtheimia_corymbifera_NRRL_2981.LCG
CTHUT	Lichtheimia_corymbifera_NRRL_6379.LCG
CTHUU	Lichtheimia_corymbifera_NRRL_A-11155.LCG
Lichy1	Lichtheimia_hyalospora_FSU_10163
CTHUO	Lichtheimia_hyalospora_NRRL_1305.LCG
G228	Lichtheimia_ramosa_B5399
N163	Lichtheimia_ramosa_B5792
CTHUW	Lichtheimia_ramosa_NRRL_1335.LCG
CTHUN	Lichtheimia_ramosa_NRRL_3208.LCG
CTHUS	Lichtheimia_sphaerocystis_NRRL_6380.LCG
GBNSH	Linderina_macrospora_NRRL_5244.LCG
Linpe1	Linderina_pennispora_ATCC_12442
CTHUX	Linderina_pennispora_NRRL_3781.LCG
MoeAD073_1	Linnemannia_elongata_AD073.v1
BCCPH	Lobosporangium_transversale_NRRL_3116.LCG
Lobtra1	Lobosporangium_transversale_NRRL_3116
Marpt1	Martensiomyces_pterosporus_CBS_209.56
Mcic2	Massospora_cicadina_2020-07-13
Mcic	Massospora_cicadina_UMICH_Mcic_1
Mplat	Massospora_platypedia_NP02
BCCSY	Modicella_reniformis_MES-2146.LCG
BCCSN	Mortierella_alpina_AD071.LCG
BCCSS	Mortierella_alpina_AD072.LCG
N164	Mortierella_alpina_B6842
BCCGZ	Mortierella_alpina_CK1249.LCG
BCCHH	Mortierella_alpina_GBA31.LCG
CTHWC	Mortierella_alpina_NRRL_66262.LCG
CHXXH	Mortierella_ambigua_BC1065.LCG
CHXXN	Mortierella_ambigua_BC1291.LCG
BCCPB	Mortierella_ambigua_NRRL_28271.LCG
BCCSH	Mortierella_antarctica_KOD_1229.LCG
BCCSX	Mortierella_beljakovae_KOD_1040.LCG
BCCOY	Mortierella_camargensis_NRRL_2610.LCG
GWOUT	Mortierella_capitata_NRRL_22892.LCG
BCCHP	Mortierella_chlamydospora_AD033.LCG
BCCPW	Mortierella_chlamydospora_NRRL_2769.LCG
CTHPN	Mortierella_claussenii_NRRL_2760.LCG
BCCTG	Mortierella_clonocystis_AM1000.LCG
BCCNY	Mortierella_clonocystis_KOD_947.LCG
BCCTH	Mortierella_cystojenkinii_1230.LCG
Morel2	Mortierella_elongata_AG-77
BCCHN	Mortierella_elongata_GBA34.LCG
BCCOP	Mortierella_elongata_GBA40.LCG
BCCNX	Mortierella_elongata_NVP5.LCG
BCCOB	Mortierella_elongata_NVP71.LCG
BCCNA	Mortierella_epicladia_AD058.LCG
BCCTC	Mortierella_epicladia_KOD_1059.LCG
BCCPG	Mortierella_epigama_NRRL_5512.LCG
BCCOU	Mortierella_exigua_NRRL_28262.LCG
BCCHY	Mortierella_gamsii_AD045.LCG
BCCNZ	Mortierella_gamsii_NVP60.LCG
BCCHZ	Mortierella_globulifera_AD054.LCG
BCCPT	Mortierella_globulifera_REB-010B.LCG
BCCTN	Mortierella_horticola_AD009.LCG
BCCHB	Mortierella_horticola_CK413.LCG
BCCTA	Mortierella_humilis_KOD_1050.LCG
Morhum1	Mortierella_humilis_PMI_1414
JES103	Mortierella_hyalina_JES_103.LCG
GWOWP	Mortierella_hyalina_NRRL_6427.LCG
CTHUY	Mortierella_hygrophila_NRRL_2591.LCG
GAUZH	Mortierella_isabellina_NRRL_A-11333.LCG
GAUZN	Mortierella_isabellina_NRRL_A-12504.LCG
BCCNO	Mortierella_minutissima_AD069.LCG
BCCNS	Mortierella_minutissima_NVP1.LCG
BCCTY	Mortierella_multidivaricata_NRRL_6456.LCG
Mormul1	Mortierella_multidivaricata_RSA_2152
GWOWN	Mortierella_nantahalensis_NRRL_5842.LCG
